reference;periode;type_document;parties;description_contenu;depose_par;date_depot;date_execution;criticite;montant;droit_ubi_paye;statut;source_registre
PB-III-419-003;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat PR-III-419-001 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;419-II-11;419-III-03;III;4'450 couronnes;178 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-419-001;archives;Contrat de protection;Sfaal ↔ Il-Irion;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;419-II-11;419-III-03;III;8'900 couronnes;178 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-419-002;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;419-II-18;419-IV-20;III;8'900 couronnes;178 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-419-004;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat CO-III-419-002 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;419-II-18;419-IV-20;III;4'450 couronnes;178 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-I-420-002;archives;Contrat de service;Il-Irion ↔ Palyr;Formation de commis aux poids, mesures et comptes de quai;;420-V-26;420-VII-17;I;9'650 couronnes;193 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-III-420-004;archives;Contrat d'exploitation;Arthas ↔ Palyr;Exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;420-VIII-10;420-X-12;III;7'100 couronnes;142 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-420-006;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat EP-III-420-004 : exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;420-VIII-10;420-X-12;III;3'550 couronnes;142 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-I-420-001;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Vente de cire blanche, suif, mèches et lanternes d'entrepôt;;420-VIII-15;420-X-04;I;7'300 couronnes;146 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-420-005;archives;Contrat de dette;Sfaal ↔ Arthas;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;420-XI-15;421-II-01;III;7'350 couronnes;147 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-420-003;archives;Contrat commercial;Sfaal ↔ Arthas;Transport de reliquaires, livres enluminés et coffrets de donation;;420-XII-10;420-XII-10;II;10'700 couronnes;214 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-421-002;archives;Contrat commercial;Palyr ↔ Il-Irion;Achat de fer doux, clous longs et bandes de cerclage;;421-II-01;421-VI-18;I;8'700 couronnes;174 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-421-006;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat SE-III-421-005 : mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;421-IV-16;421-VI-07;III;4'800 couronnes;192 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-421-005;archives;Contrat de service;Arthas ↔ Sfaal;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;421-IV-16;421-VI-07;III;9'600 couronnes;192 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-421-004;archives;Contrat commercial;Arthas ↔ Palyr;Achat de madriers d'ébène brun, placages de noyer noir et chevilles de buis;;421-IV-17;421-VI-18;II;11'150 couronnes;223 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-421-003;archives;Contrat de protection;Palyr ↔ Ther-Félis;Escorte de chariots de pierre sur route de carrière;;421-IX-07;421-XII-25;I;2'500 couronnes;50 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-422-003;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la cinquième régate;;422-XII-01;422-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
PB-III-422-002;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat SE-III-422-001 : transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;422-XII-29;423-III-18;III;4'700 couronnes;188 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-422-001;archives;Contrat de service;Il-Irion ↔ Ther-Félis;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;422-XII-29;423-III-18;III;9'400 couronnes;188 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-423-003;archives;Contrat d'exploitation;Arthas ↔ Ther-Félis;Exploitation limitée d'une carrière de calcaire;;423-I-14;423-V-07;I;3'150 couronnes;63 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-423-006;archives;Contrat de dette;Sfaal ↔ Ther-Félis;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;423-IV-12;423-VII-08;III;9'000 couronnes;180 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-423-005;archives;Contrat d'exclusivité;Ther-Félis ↔ Sfaal;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;423-VII-10;423-X-05;III;9'100 couronnes;182 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-423-008;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat EC-III-423-005 : alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;423-VII-10;423-X-05;III;4'550 couronnes;182 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-I-423-001;archives;Contrat de protection;Il-Irion ↔ Arthas;Protection de pesée publique après contestation;;423-VII-12;423-IX-05;I;9'750 couronnes;195 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-423-004;archives;Contrat commercial;Palyr ↔ Sfaal;Transport assuré de tableaux, statuettes votives et cadres dorés;;423-VIII-24;423-XI-26;II;11'550 couronnes;231 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-423-002;archives;Contrat d'exploitation;Palyr ↔ Arthas;Exploitation de source minérale pour bains et teintures;;423-X-18;423-XII-12;I;2'550 couronnes;51 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-424-002;archives;Contrat d'exclusivité;Sfaal ↔ Ther-Félis;Exclusivité de vente de sel gris dans trois halles;;424-III-19;424-IV-13;I;3'600 couronnes;72 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-III-424-004;archives;Contrat de service;Arthas ↔ Ther-Félis;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;424-VIII-12;424-XI-19;III;9'450 couronnes;189 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-424-003;archives;Contrat commercial;Arthas ↔ Palyr;Vente de sel d'alun, mordants de teinture et savons de laine;;424-X-03;424-XII-06;II;11'800 couronnes;236 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-424-001;archives;Contrat d'exclusivité;Arthas ↔ Palyr;Priorité d'achat sur plantes tinctoriales séchées;;424-XII-23;424-XII-18;I;2'950 couronnes;59 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-425-002;archives;Contrat de dette;Sfaal ↔ Arthas;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;425-IV-16;425-VII-29;III;9'950 couronnes;199 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-425-001;archives;Contrat commercial;Sfaal ↔ Il-Irion;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;425-VII-10;425-VIII-10;III;8'500 couronnes;170 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-III-426-005;archives;Contrat de service;Il-Irion ↔ Ther-Félis;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;426-II-15;426-V-19;III;9'150 couronnes;183 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-426-004;archives;Contrat commercial;Palyr ↔ Ther-Félis;Achat de blocs de granit poli, seuils sculptés et marches taillées;;426-III-11;426-IV-15;II;12'250 couronnes;245 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-426-001;archives;Contrat commercial;Ther-Félis ↔ Palyr;Achat de charbon de forge, coke et sacs de poussière noire;;426-VI-09;426-VIII-06;I;4'200 couronnes;84 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-426-003;archives;Contrat commercial;Arthas ↔ Il-Irion;Fourniture d'encre noire, gomme, parchemins et règles de scribe;;426-VIII-01;426-X-22;I;4'450 couronnes;89 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-426-002;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Fourniture d'encre noire, gomme, parchemins et règles de scribe;;426-IX-15;426-XII-13;I;4'950 couronnes;99 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-427-003;archives;Contrat commercial;Arthas ↔ Ther-Félis;Vente de fourrures de renard blanc, martre sombre et loup des hauts plateaux;;427-V-16;427-VII-21;II;12'500 couronnes;250 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-427-005;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat PR-III-427-004 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;427-VIII-25;427-XI-09;III;4'175 couronnes;167 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-427-004;archives;Contrat de protection;Sfaal ↔ Ther-Félis;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;427-VIII-25;427-XI-09;III;8'350 couronnes;167 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-427-002;archives;Contrat de service;Il-Irion ↔ Arthas;Construction de rayonnages, coffres bas et pupitres de compte;;427-X-06;427-XII-02;I;4'850 couronnes;97 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-427-001;archives;Contrat commercial;Palyr ↔ Sfaal;Achat de planches de chêne, poutres courtes et chevilles de charpente;;427-XI-20;427-XII-19;I;5'400 couronnes;108 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-427-006;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la sixième régate;;427-XII-01;427-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
SE-III-428-001;archives;Contrat de service;Sfaal ↔ Palyr;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;428-IX-08;428-X-06;III;6'650 couronnes;133 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-429-003;archives;Contrat de protection;Ther-Félis ↔ Sfaal;Garde de coffre de succession avant partage;;429-III-14;429-VII-11;I;5'750 couronnes;115 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-429-002;archives;Contrat d'exploitation;Ther-Félis ↔ Sfaal;Ramassage de coquilles, chaux marine et sable blanc;;429-VIII-12;429-XI-14;I;7'400 couronnes;148 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-429-005;archives;Contrat d'exclusivité;Palyr ↔ Arthas;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;429-X-07;430-I-25;III;6'550 couronnes;131 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-429-004;archives;Contrat commercial;Palyr ↔ Arthas;Achat de pigments rares, laque rouge, bleu broyé et poudre d'or;;429-X-24;429-XII-04;II;12'950 couronnes;259 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-430-002;archives;Contrat d'exploitation;Il-Irion ↔ Sfaal;Coupe de pins droits pour mâts et longues perches;;430-V-19;430-VI-17;I;6'150 couronnes;123 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-430-005;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat SE-III-430-004 : transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;430-X-01;430-XII-20;III;4'900 couronnes;196 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-430-004;archives;Contrat de service;Il-Irion ↔ Palyr;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;430-X-01;430-XII-20;III;9'800 couronnes;196 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-430-001;archives;Contrat d'exclusivité;Il-Irion ↔ Sfaal;Exclusivité de copie pour contrats de foire;;430-X-17;430-XII-20;I;7'800 couronnes;156 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-430-003;archives;Contrat commercial;Il-Irion ↔ Sfaal;Achat de selles ouvragées, mors argentés et couvertures de parade;;430-XII-03;430-XII-10;II;10'200 couronnes;204 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-431-001;archives;Contrat de service;Palyr ↔ Il-Irion;Copie de registres de dettes et reclassement de bordereaux;;431-I-23;431-II-01;I;8'450 couronnes;169 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-431-002;archives;Contrat commercial;Arthas ↔ Il-Irion;Fourniture de peaux tannées, graisse de cuir et lacets d'attache;;431-IV-03;431-VI-08;I;9'200 couronnes;184 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-III-431-003;archives;Contrat de service;Sfaal ↔ Palyr;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;431-VII-22;431-VIII-06;III;9'900 couronnes;198 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-432-006;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat SE-III-432-005 : mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;432-II-05;432-III-06;III;4'800 couronnes;192 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-432-005;archives;Contrat de service;Il-Irion ↔ Sfaal;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;432-II-05;432-III-06;III;9'600 couronnes;192 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-432-003;archives;Contrat commercial;Palyr ↔ Arthas;Achat de madriers d'ébène brun, placages de noyer noir et chevilles de buis;;432-IV-10;432-V-18;II;10'550 couronnes;211 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-432-007;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat SE-III-432-004 : mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;432-IX-09;432-XII-07;III;3'900 couronnes;156 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-432-004;archives;Contrat de service;Sfaal ↔ Il-Irion;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;432-IX-09;432-XII-07;III;7'800 couronnes;156 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-432-002;archives;Contrat d'exclusivité;Palyr ↔ Sfaal;Priorité d'achat sur plantes tinctoriales séchées;;432-IX-26;432-XI-25;I;6'800 couronnes;136 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-432-008;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la septième régate;;432-XII-01;432-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
PR-III-433-004;archives;Contrat de protection;Arthas ↔ Ther-Félis;Escorte armée de poudres alchimiques et d'ingrédients magiques entre deux comptoirs;;433-III-30;433-V-15;III;6'400 couronnes;128 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-433-003;archives;Contrat commercial;Il-Irion ↔ Palyr;Achat de chevaux de trait, juments de selle et harnais complets;;433-VII-16;433-IX-25;II;10'900 couronnes;218 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-433-002;archives;Contrat commercial;Arthas ↔ Sfaal;Vente de sel gris, saumure et jarres de conservation;;433-XII-06;433-XII-06;I;7'400 couronnes;148 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-434-002;archives;Contrat de protection;Sfaal ↔ Arthas;Escorte de navire côtier chargé de biens de compte;;434-III-26;434-V-09;I;3'650 couronnes;73 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-434-005;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat PR-III-434-003 : escorte armée de poudres alchimiques et d'ingrédients magiques entre deux comptoirs;;434-V-10;434-VII-13;III;3'125 couronnes;125 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-434-003;archives;Contrat de protection;Arthas ↔ Il-Irion;Escorte armée de poudres alchimiques et d'ingrédients magiques entre deux comptoirs;;434-V-10;434-VII-13;III;6'250 couronnes;125 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-434-004;archives;Contrat de dette;Palyr ↔ Arthas;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;434-IX-29;434-XII-29;III;9'700 couronnes;194 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-434-001;archives;Contrat de service;Arthas ↔ Ther-Félis;Nettoyage de citernes, rigoles et bassins de salaison;;434-XII-20;434-XII-02;I;2'850 couronnes;57 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-435-004;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;435-II-08;435-IV-20;III;9'050 couronnes;181 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-435-005;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat CO-III-435-004 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;435-II-08;435-IV-20;III;4'525 couronnes;181 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
EP-I-435-001;archives;Contrat d'exploitation;Ther-Félis ↔ Palyr;Prise de pierre noire pour meules et seuils;;435-V-05;435-VIII-15;I;4'050 couronnes;81 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-435-003;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Vente de sel d'alun, mordants de teinture et savons de laine;;435-XI-23;435-XII-07;II;11'300 couronnes;226 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-436-003;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Vente de fourrures de loutre, doublures de manteau et gants doublés;;436-II-03;436-VI-14;II;11'650 couronnes;233 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-436-004;archives;Contrat commercial;Palyr ↔ Arthas;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;436-V-02;436-VIII-26;III;7'550 couronnes;151 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-436-005;archives;Contrat de prêt bancaire;UBI ↔ Palyr;Prêt bancaire pour avance d'exécution liée au contrat CO-III-436-004 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;436-V-02;436-VIII-26;III;3'775 couronnes;151 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-I-436-002;archives;Contrat de protection;Ther-Félis ↔ Palyr;Escorte de messagers porteurs de lettres de change;;436-VII-19;436-VIII-21;I;8'700 couronnes;174 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-436-001;archives;Contrat d'exclusivité;Il-Irion ↔ Ther-Félis;Priorité sur jarres d'huile et graisse de conservation;;436-VIII-11;436-XII-22;I;4'700 couronnes;94 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-437-003;archives;Contrat commercial;Il-Irion ↔ Arthas;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;437-I-06;437-IV-24;III;6'050 couronnes;121 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-437-004;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat CO-III-437-003 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;437-I-06;437-IV-24;III;3'025 couronnes;121 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-I-437-002;archives;Contrat commercial;Arthas ↔ Palyr;Vente de sel gris, saumure et jarres de conservation;;437-II-23;437-IV-10;I;6'100 couronnes;122 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-437-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la huitième régate;;437-XII-01;437-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
EC-III-438-006;archives;Contrat d'exclusivité;Palyr ↔ Ther-Félis;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;438-II-15;438-IV-06;III;6'950 couronnes;139 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-438-007;archives;Contrat de prêt bancaire;UBI ↔ Palyr;Prêt bancaire pour avance d'exécution liée au contrat EC-III-438-006 : alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;438-II-15;438-IV-06;III;3'475 couronnes;139 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-438-003;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Vente de fourrures de renard blanc, martre sombre et loup des hauts plateaux;;438-VI-10;438-VII-22;II;12'000 couronnes;240 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-438-005;archives;Contrat commercial;Ther-Félis ↔ Arthas;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;438-VII-14;438-VIII-07;III;8'300 couronnes;166 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-438-002;archives;Contrat d'exploitation;Il-Irion ↔ Arthas;Exploitation de ruchers et prélèvement de cire;;438-XI-26;438-XII-03;I;9'350 couronnes;187 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-438-004;archives;Contrat commercial;Ther-Félis ↔ Palyr;Fourniture confidentielle de sels de dormance, racines de mnésis séchées et fioles d'huile lunaire;;438-XII-18;439-II-06;III;9'600 couronnes;192 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-438-008;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat CO-III-438-004 : fourniture confidentielle de sels de dormance, racines de mnésis séchées et fioles d'huile lunaire;;438-XII-18;439-II-06;III;4'800 couronnes;192 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
EC-I-439-003;archives;Contrat d'exclusivité;Ther-Félis ↔ Il-Irion;Priorité sur jarres d'huile et graisse de conservation;;439-III-07;439-VI-11;I;2'200 couronnes;44 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-439-006;archives;Contrat de prêt bancaire;UBI ↔ Palyr;Prêt bancaire pour avance d'exécution liée au contrat SE-III-439-005 : mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;439-IV-26;439-V-28;III;3'325 couronnes;133 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-439-005;archives;Contrat de service;Palyr ↔ Arthas;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;439-IV-26;439-V-28;III;6'650 couronnes;133 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-439-001;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Vente de cire blanche, suif, mèches et lanternes d'entrepôt;;439-VII-08;439-XI-23;I;7'100 couronnes;142 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-439-002;archives;Contrat de service;Il-Irion ↔ Palyr;Construction de rayonnages, coffres bas et pupitres de compte;;439-X-14;439-XI-04;I;7'900 couronnes;158 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-439-004;archives;Contrat commercial;Sfaal ↔ Il-Irion;Fourniture de verreries fines, flacons d'apothicaire et vitres colorées;;439-X-17;439-XII-04;II;12'450 couronnes;249 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-440-004;archives;Contrat d'exclusivité;Palyr ↔ Il-Irion;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;440-II-08;440-IV-28;III;8'600 couronnes;172 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-440-007;archives;Contrat de prêt bancaire;UBI ↔ Palyr;Prêt bancaire pour avance d'exécution liée au contrat EC-III-440-004 : alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;440-II-08;440-IV-28;III;4'300 couronnes;172 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-III-440-005;archives;Contrat commercial;Arthas ↔ Palyr;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;440-VI-07;440-VII-12;III;9'050 couronnes;181 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-440-006;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat CO-III-440-005 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;440-VI-07;440-VII-12;III;4'525 couronnes;181 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-I-440-001;archives;Contrat de protection;Palyr ↔ Il-Irion;Garde de cave après saisie de tonneaux;;440-XII-19;440-XII-10;I;8'300 couronnes;166 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-440-003;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Vente de bois de cèdre, panneaux parfumés et coffrets bruts;;440-XII-22;440-XII-10;II;12'700 couronnes;254 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-441-001;archives;Contrat commercial;Il-Irion ↔ Sfaal;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;441-XII-21;442-II-10;III;9'300 couronnes;186 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-442-005;archives;Contrat de dette;Palyr ↔ Sfaal;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;442-II-26;442-III-21;III;9'250 couronnes;185 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
